index,filename,ground_truth,texture_class,correct,texture_conf,car_detected,ev_detections,mobilenet_classification,yolo_ev_detection,total_ms
0,IMG_4531.HEIC,asphalt,gravel,0,1.0000,false,1,61.49,271.51,333.01
1,IMG_4532.HEIC,asphalt,gravel,0,1.0000,false,2,16.34,210.98,227.32
2,IMG_4534.HEIC,asphalt,gravel,0,0.9627,false,2,14.56,212.42,226.98
3,IMG_4535.HEIC,asphalt,gravel,0,0.9674,false,1,15.79,209.84,225.63
4,IMG_4536.HEIC,asphalt,gravel,0,0.9999,false,1,15.43,215.81,231.24
5,IMG_4537.HEIC,asphalt,gravel,0,0.9999,false,2,15.78,209.27,225.05
6,IMG_4538.HEIC,asphalt,gravel,0,0.9999,false,1,14.97,211.13,226.10
7,IMG_4539.HEIC,asphalt,gravel,0,0.9964,false,1,14.58,210.05,224.63
8,IMG_4540.HEIC,asphalt,gravel,0,0.9985,false,1,15.39,212.06,227.45
9,IMG_4541.HEIC,asphalt,sand,0,0.9979,false,1,14.68,208.55,223.23
10,IMG_4542.HEIC,asphalt,gravel,0,0.9990,false,1,16.17,211.17,227.34
11,IMG_4543.HEIC,asphalt,gravel,0,0.9995,false,1,16.65,216.66,233.31
12,IMG_4544.HEIC,asphalt,gravel,0,0.9998,false,1,16.61,211.88,228.48
13,IMG_4545.HEIC,asphalt,gravel,0,1.0000,false,1,16.19,205.40,221.59
14,IMG_4546.HEIC,asphalt,gravel,0,0.9998,false,1,15.50,209.79,225.28
15,IMG_4547.HEIC,asphalt,gravel,0,0.9999,false,1,14.21,214.95,229.17
16,IMG_4548.HEIC,asphalt,gravel,0,0.9996,false,1,17.28,209.70,226.98
17,IMG_4549.HEIC,asphalt,gravel,0,0.9998,false,1,16.48,216.64,233.12
18,IMG_4550.HEIC,asphalt,gravel,0,1.0000,false,1,15.41,213.66,229.07
19,IMG_4551.HEIC,cobblestone,gravel,0,0.9982,false,1,16.07,207.89,223.96
20,IMG_4552.HEIC,cobblestone,gravel,0,0.8539,false,1,15.66,205.74,221.40
21,IMG_4555.HEIC,cobblestone,sand,0,0.9996,false,1,16.05,211.24,227.29
22,IMG_4556.HEIC,cobblestone,gravel,0,1.0000,false,1,15.84,214.33,230.17
23,IMG_4557.HEIC,cobblestone,gravel,0,1.0000,false,1,15.81,211.52,227.33
24,IMG_4558.HEIC,cobblestone,gravel,0,0.7840,false,1,17.11,209.53,226.64
25,IMG_4559.HEIC,asphalt,gravel,0,1.0000,false,1,15.79,213.15,228.94
26,IMG_4560.HEIC,asphalt,gravel,0,1.0000,false,1,16.29,216.54,232.84
27,IMG_4561.HEIC,asphalt,gravel,0,1.0000,false,1,11.79,202.19,213.98
28,IMG_4562.HEIC,asphalt,gravel,0,1.0000,false,1,17.66,206.64,224.30
29,IMG_4563.HEIC,asphalt,gravel,0,1.0000,false,1,18.44,210.31,228.74
30,IMG_4564.HEIC,gravel,gravel,1,1.0000,false,1,10.97,209.51,220.48
31,IMG_4565.HEIC,asphalt,gravel,0,1.0000,false,1,15.41,214.56,229.96
32,IMG_4566.HEIC,cobblestone,gravel,0,0.9855,false,1,13.69,200.47,214.16
33,IMG_4567.HEIC,cobblestone,sand,0,1.0000,false,1,16.52,211.56,228.08
34,IMG_4568.HEIC,asphalt,gravel,0,1.0000,false,1,18.18,209.07,227.25
35,IMG_4569.HEIC,asphalt,gravel,0,1.0000,false,1,14.44,207.07,221.51
36,IMG_4570.HEIC,asphalt,gravel,0,1.0000,false,1,15.69,213.21,228.90
37,IMG_4571.HEIC,asphalt,gravel,0,1.0000,false,1,15.74,212.97,228.72
38,IMG_4572.HEIC,asphalt,gravel,0,1.0000,false,1,15.13,208.67,223.80
39,IMG_4573.HEIC,asphalt,gravel,0,1.0000,false,1,16.74,209.38,226.12
40,IMG_4574.HEIC,asphalt,gravel,0,1.0000,false,1,15.38,208.13,223.50
41,IMG_4575.HEIC,asphalt,gravel,0,1.0000,false,1,15.99,210.01,226.00
42,IMG_4576.HEIC,asphalt,gravel,0,1.0000,false,1,16.13,205.97,222.10
43,IMG_4578.HEIC,gravel,gravel,1,0.9988,false,1,15.11,208.38,223.49
44,IMG_4579.HEIC,gravel,gravel,1,0.9999,false,1,15.95,212.05,228.01
45,IMG_4580.HEIC,gravel,gravel,1,0.9999,false,1,14.30,203.01,217.31
46,IMG_4581.HEIC,cobblestone,gravel,0,1.0000,false,1,14.36,204.94,219.30
47,IMG_4582.HEIC,cobblestone,gravel,0,0.9999,false,1,16.24,205.01,221.25
48,IMG_4583.HEIC,cobblestone,gravel,0,1.0000,false,1,15.51,207.22,222.73
49,IMG_4584.HEIC,cobblestone,gravel,0,1.0000,false,1,14.96,212.00,226.96
50,IMG_4585.HEIC,cobblestone,gravel,0,0.8520,false,1,15.67,204.10,219.77
51,IMG_4586.HEIC,cobblestone,gravel,0,1.0000,false,1,16.62,210.30,226.92
52,IMG_4587.HEIC,cobblestone,gravel,0,0.9999,false,1,15.59,210.67,226.26
53,IMG_4588.HEIC,asphalt,gravel,0,1.0000,false,1,15.25,209.61,224.86
54,IMG_4589.HEIC,asphalt,gravel,0,0.9959,false,1,15.82,209.37,225.19
55,IMG_4590.HEIC,cobblestone,gravel,0,0.9999,false,1,15.12,207.76,222.87
56,IMG_4591.HEIC,cobblestone,gravel,0,0.9999,false,1,15.36,209.57,224.93
57,IMG_4592.HEIC,cobblestone,gravel,0,1.0000,false,1,15.64,208.00,223.64
58,IMG_4593.HEIC,cobblestone,gravel,0,0.9999,false,1,15.65,210.75,226.40
59,IMG_4594.HEIC,cobblestone,gravel,0,0.6689,false,1,16.39,207.06,223.44
60,IMG_4595.HEIC,asphalt,gravel,0,0.9945,false,1,16.32,209.01,225.33
61,IMG_4596.HEIC,asphalt,gravel,0,1.0000,false,1,14.87,213.39,228.26
62,IMG_4597.HEIC,asphalt,gravel,0,0.9999,false,2,15.82,207.57,223.39
63,IMG_4598.HEIC,asphalt,gravel,0,0.9999,false,1,16.35,205.37,221.72
64,IMG_4599.HEIC,cobblestone,gravel,0,1.0000,false,1,16.50,215.74,232.24
65,IMG_4600.HEIC,cobblestone,sand,0,1.0000,false,1,15.75,210.74,226.49
66,IMG_4601.HEIC,cobblestone,gravel,0,0.6859,false,1,16.68,210.23,226.92
67,IMG_4602.HEIC,cobblestone,sand,0,1.0000,false,1,15.84,209.51,225.34
68,IMG_4603.HEIC,cobblestone,sand,0,1.0000,false,1,15.55,207.46,223.01
69,IMG_4604.HEIC,cobblestone,sand,0,0.9999,false,1,16.02,210.66,226.68
70,IMG_4605.HEIC,cobblestone,sand,0,1.0000,false,1,16.88,209.19,226.07
71,IMG_4606.HEIC,asphalt,gravel,0,0.9588,false,1,15.19,203.85,219.04
72,IMG_4607.HEIC,asphalt,gravel,0,1.0000,false,1,16.62,209.77,226.39
73,IMG_4608.HEIC,asphalt,gravel,0,1.0000,false,1,15.52,205.52,221.04
74,IMG_4609.HEIC,gravel,gravel,1,1.0000,false,1,14.92,207.91,222.83
75,IMG_4610.HEIC,gravel,gravel,1,1.0000,false,1,16.01,207.61,223.62
76,IMG_4611.HEIC,sand,gravel,0,0.9996,false,1,14.46,205.04,219.50
77,IMG_4612.HEIC,sand,gravel,0,0.8842,false,1,14.84,205.34,220.18
78,IMG_4613.HEIC,cobblestone,sand,0,1.0000,false,1,14.91,210.17,225.08
79,IMG_4614.HEIC,cobblestone,sand,0,1.0000,false,1,14.60,204.13,218.73
80,IMG_4615.HEIC,cobblestone,sand,0,1.0000,false,1,14.61,208.71,223.32
81,IMG_4616.HEIC,cobblestone,sand,0,1.0000,false,1,14.82,208.28,223.10
82,IMG_4617.HEIC,cobblestone,gravel,0,0.9962,false,1,15.67,209.94,225.61
83,IMG_4618.HEIC,cobblestone,gravel,0,0.8568,false,1,17.24,207.44,224.68
84,IMG_4619.HEIC,cobblestone,sand,0,0.7549,false,1,15.08,214.79,229.87
85,IMG_4620.HEIC,cobblestone,gravel,0,0.9997,false,1,16.54,216.77,233.31
86,IMG_4621.HEIC,cobblestone,gravel,0,1.0000,false,1,15.75,209.16,224.91
87,IMG_4622.HEIC,cobblestone,gravel,0,0.9978,false,1,16.91,211.45,228.36
88,IMG_4623.HEIC,cobblestone,gravel,0,0.9363,false,1,15.02,209.65,224.67
89,IMG_4624.HEIC,cobblestone,sand,0,0.9944,false,1,16.37,210.68,227.05
90,IMG_4625.HEIC,cobblestone,sand,0,0.9797,false,1,15.65,211.20,226.86
91,IMG_4626.HEIC,cobblestone,gravel,0,0.9917,false,1,16.46,210.34,226.80
92,IMG_4627.HEIC,cobblestone,gravel,0,0.9664,false,1,15.21,209.23,224.44
93,IMG_4628.HEIC,cobblestone,gravel,0,0.9875,false,1,15.58,207.37,222.95
94,IMG_4629.HEIC,cobblestone,gravel,0,0.9408,false,1,15.66,206.21,221.87
95,IMG_4630.HEIC,cobblestone,gravel,0,0.9598,false,1,14.71,208.72,223.42
96,IMG_4631.HEIC,cobblestone,gravel,0,1.0000,false,2,14.33,206.86,221.20
97,IMG_4632.HEIC,cobblestone,sand,0,0.9960,false,2,15.17,211.65,226.82
98,IMG_4633.HEIC,cobblestone,gravel,0,0.9511,false,1,17.03,211.24,228.27
99,IMG_4669.HEIC,sand,gravel,0,0.9963,false,1,15.08,206.11,221.20
