epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,519.142,1.01394,1.08838,1.11344,0.29884,0.41048,0.27661,0.15096,1.47178,14.4635,1.51892,0.000662132,0.000662132,0.000662132
2,1080.35,1.14501,0.96909,1.1773,0.65217,0.2981,0.31562,0.1899,1.4928,5.3918,1.46475,0.00131564,0.00131564,0.00131564
3,1643.48,1.15094,0.97174,1.17725,0.45261,0.28095,0.25991,0.14004,1.4531,4.60479,1.44493,0.00195595,0.00195595,0.00195595
4,2245.51,1.04382,0.83371,1.12331,0.79483,0.22762,0.26342,0.16728,1.27255,1.11802,1.25011,0.0019406,0.0019406,0.0019406
5,2829.87,0.96959,0.73105,1.07771,0.85057,0.54667,0.60149,0.42672,1.13441,1.04149,1.1771,0.0019208,0.0019208,0.0019208
6,3361.1,0.91242,0.67216,1.04448,0.7835,0.59333,0.66429,0.45309,1.14035,0.98899,1.15047,0.001901,0.001901,0.001901
7,3889.51,0.87192,0.62654,1.03271,0.89175,0.58842,0.66848,0.46425,1.05451,0.93589,1.155,0.0018812,0.0018812,0.0018812
8,4481.64,0.84008,0.59589,1.01445,0.74788,0.57905,0.62465,0.39982,1.30695,1.01406,1.41213,0.0018614,0.0018614,0.0018614
9,5044.53,0.8365,0.58152,1.01126,0.81127,0.52095,0.56394,0.41152,1.11435,1.05918,1.16589,0.0018416,0.0018416,0.0018416
10,5587.56,0.78677,0.53904,0.98837,0.85519,0.64683,0.71665,0.49482,1.04942,0.75969,1.13625,0.0018218,0.0018218,0.0018218
11,6152.7,0.77536,0.53665,0.98205,0.87746,0.62952,0.71652,0.49604,1.05018,0.81627,1.11604,0.001802,0.001802,0.001802
12,6695,0.76422,0.51852,0.97385,0.89864,0.62952,0.73764,0.52096,1.00731,0.72541,1.11323,0.0017822,0.0017822,0.0017822
13,7228.08,0.73399,0.50172,0.96715,0.87969,0.67238,0.76311,0.54299,0.95367,0.70138,1.06644,0.0017624,0.0017624,0.0017624
14,7829.28,0.71758,0.48708,0.95678,0.84885,0.71714,0.77192,0.55366,0.95597,0.68916,1.06064,0.0017426,0.0017426,0.0017426
15,8396.03,0.7049,0.47944,0.95276,0.88387,0.63785,0.70709,0.50932,1.01347,0.7663,1.09835,0.0017228,0.0017228,0.0017228
