epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,549.89,1.66684,1.96607,1.66501,0.01206,0.12286,0.00517,0.00122,3.07152,78.7628,3.85739,0.000662132,0.000662132,0.000662132
2,1113.21,1.78802,1.87081,1.72506,0.04794,0.08476,0.01441,0.00441,2.59485,11.604,2.33937,0.00131564,0.00131564,0.00131564
3,1694.88,1.78807,1.86402,1.73458,0.31108,0.18571,0.15208,0.04862,2.29832,5.17887,1.9101,0.00195595,0.00195595,0.00195595
4,2311.44,1.63421,1.57055,1.62946,0.48462,0.17524,0.16089,0.06672,2.17881,4.16652,1.66175,0.0019406,0.0019406,0.0019406
5,2908.57,1.58823,1.50136,1.57556,0.51328,0.1819,0.17529,0.07779,1.9943,1.59425,1.50845,0.0019208,0.0019208,0.0019208
6,3521.78,1.53217,1.38199,1.52782,0.63471,0.15619,0.16375,0.06117,2.24046,2.59201,1.7217,0.001901,0.001901,0.001901
7,4151.32,1.50782,1.35466,1.51971,0.56445,0.20118,0.2117,0.09699,1.91085,1.53926,1.50369,0.0018812,0.0018812,0.0018812
8,4777.86,1.45582,1.25706,1.4762,0.60477,0.2581,0.26528,0.11391,2.03179,1.6123,1.47564,0.0018614,0.0018614,0.0018614
9,5467.27,1.40302,1.17245,1.44184,0.71547,0.20762,0.23269,0.11127,1.90025,1.23211,1.37866,0.0018416,0.0018416,0.0018416
10,6145.83,1.40093,1.15162,1.42743,0.77599,0.4981,0.56415,0.28185,1.76736,1.32223,1.30846,0.0018218,0.0018218,0.0018218
11,6838.07,1.37837,1.10345,1.41508,0.75344,0.56168,0.6115,0.26294,1.92396,1.41495,1.37421,0.001802,0.001802,0.001802
12,7630.41,1.35987,1.08386,1.40655,0.764,0.53954,0.55879,0.25429,1.9104,1.25404,1.34369,0.0017822,0.0017822,0.0017822
13,8347.31,1.33854,1.04791,1.39612,0.71256,0.53333,0.59364,0.27336,1.92339,1.41926,1.35083,0.0017624,0.0017624,0.0017624
14,9161.06,1.33719,1.02303,1.38526,0.71674,0.41714,0.49886,0.2608,1.69615,1.46537,1.30558,0.0017426,0.0017426,0.0017426
15,9925.9,1.32063,1.00692,1.37522,0.84017,0.5557,0.60612,0.30819,1.82077,1.46564,1.33373,0.0017228,0.0017228,0.0017228
16,10721.1,1.27095,0.97514,1.3417,0.74209,0.54807,0.59098,0.27397,1.94938,1.37653,1.44383,0.001703,0.001703,0.001703
17,11541.2,1.27863,0.95091,1.34398,0.71558,0.4619,0.51612,0.20214,2.23172,1.64429,1.62613,0.0016832,0.0016832,0.0016832
18,12378.7,1.29444,0.94154,1.3491,0.75135,0.4781,0.56369,0.26843,1.88563,1.35801,1.31535,0.0016634,0.0016634,0.0016634
19,13201.5,1.25484,0.90794,1.32119,0.75265,0.5619,0.60484,0.23101,2.07424,1.5111,1.41785,0.0016436,0.0016436,0.0016436
20,13995.9,1.23993,0.89469,1.30773,0.7452,0.5515,0.61678,0.33023,1.63676,1.12658,1.2222,0.0016238,0.0016238,0.0016238
21,14847.1,1.23922,0.8842,1.31456,0.84117,0.56489,0.62616,0.32299,1.79556,1.16745,1.31398,0.001604,0.001604,0.001604
22,15754,1.23812,0.88263,1.31036,0.76696,0.56418,0.63364,0.32401,1.79206,1.18689,1.31922,0.0015842,0.0015842,0.0015842
23,16618,1.22491,0.87555,1.29354,0.80895,0.54441,0.61202,0.32072,1.77667,1.16201,1.30649,0.0015644,0.0015644,0.0015644
24,17492.8,1.21446,0.84588,1.3019,0.84328,0.5419,0.61033,0.31282,1.82116,1.21554,1.3163,0.0015446,0.0015446,0.0015446
25,18330.2,1.18888,0.82235,1.2719,0.8612,0.58095,0.6566,0.37221,1.49654,1.20832,1.16577,0.0015248,0.0015248,0.0015248
26,19168.3,1.19722,0.83367,1.27905,0.82551,0.61429,0.66667,0.33884,1.71078,1.20695,1.25689,0.001505,0.001505,0.001505
27,20113.2,1.17785,0.80557,1.27267,0.83883,0.58667,0.65313,0.36023,1.57764,1.05312,1.19308,0.0014852,0.0014852,0.0014852
28,21008.6,1.16971,0.81451,1.26584,0.7748,0.6019,0.68336,0.38895,1.5599,1.01183,1.22115,0.0014654,0.0014654,0.0014654
29,21854.6,1.18789,0.793,1.26889,0.86713,0.57183,0.67971,0.36351,1.61474,0.99749,1.19662,0.0014456,0.0014456,0.0014456
30,22738.4,1.16008,0.77939,1.25313,0.81896,0.59333,0.65888,0.34937,1.6537,1.08285,1.212,0.0014258,0.0014258,0.0014258
31,23625.2,1.13639,0.7603,1.25104,0.81657,0.59778,0.68757,0.38589,1.55067,1.02136,1.18386,0.001406,0.001406,0.001406
32,24459.1,1.12167,0.73669,1.23251,0.87573,0.62286,0.67866,0.37122,1.58045,1.0188,1.18786,0.0013862,0.0013862,0.0013862
33,25434,1.13463,0.75461,1.23876,0.87888,0.54381,0.64714,0.38653,1.41663,1.03144,1.13504,0.0013664,0.0013664,0.0013664
34,26511.3,1.13276,0.73049,1.22496,0.80624,0.6301,0.68812,0.37332,1.63622,0.98376,1.19632,0.0013466,0.0013466,0.0013466
35,27395.2,1.09927,0.71704,1.22243,0.8813,0.62225,0.69094,0.3915,1.56299,0.94799,1.19617,0.0013268,0.0013268,0.0013268
36,28366,1.10528,0.72268,1.21557,0.80787,0.65277,0.7077,0.4011,1.52678,0.95477,1.15106,0.001307,0.001307,0.001307
37,29228.3,1.08793,0.69644,1.19856,0.81995,0.6219,0.68505,0.39223,1.50577,1.05023,1.15744,0.0012872,0.0012872,0.0012872
38,30025.8,1.08532,0.69705,1.20753,0.89059,0.62797,0.71366,0.40313,1.48318,0.89752,1.16174,0.0012674,0.0012674,0.0012674
39,30989,1.08186,0.69914,1.21033,0.86279,0.56894,0.67125,0.40183,1.42353,1.02679,1.12095,0.0012476,0.0012476,0.0012476
40,31894.8,1.09326,0.70453,1.21239,0.84366,0.59143,0.69167,0.39114,1.58459,0.94537,1.22375,0.0012278,0.0012278,0.0012278
41,32818.8,1.04646,0.66078,1.18692,0.82184,0.61429,0.69575,0.38862,1.58326,0.97471,1.1838,0.001208,0.001208,0.001208
42,33780.6,1.05951,0.66671,1.18345,0.85151,0.62,0.70126,0.38866,1.57763,0.95761,1.22013,0.0011882,0.0011882,0.0011882
43,34655.7,1.04821,0.66718,1.17875,0.83776,0.6419,0.72057,0.43374,1.39529,0.87001,1.13267,0.0011684,0.0011684,0.0011684
44,35706.2,1.04498,0.66448,1.1829,0.88815,0.62011,0.71535,0.46545,1.26568,0.84343,1.06977,0.0011486,0.0011486,0.0011486
45,36614.1,1.06173,0.66703,1.18812,0.88416,0.56857,0.65242,0.37484,1.54482,1.05097,1.15862,0.0011288,0.0011288,0.0011288
46,37595.2,1.04393,0.65256,1.17847,0.79615,0.61743,0.70358,0.39261,1.46076,0.96516,1.14789,0.001109,0.001109,0.001109
47,38630.9,1.03417,0.64515,1.17117,0.84471,0.60286,0.71209,0.40402,1.46289,0.95239,1.12661,0.0010892,0.0010892,0.0010892
48,39539.3,1.0183,0.63745,1.15698,0.86561,0.61048,0.70949,0.42965,1.35552,0.92331,1.09984,0.0010694,0.0010694,0.0010694
49,40460.4,1.01719,0.63784,1.16083,0.88258,0.55837,0.67939,0.42142,1.32492,0.93432,1.09356,0.0010496,0.0010496,0.0010496
50,41327.3,1.00488,0.62849,1.15305,0.85349,0.63524,0.72446,0.43842,1.3746,0.84188,1.10828,0.0010298,0.0010298,0.0010298
51,42319,1.00067,0.61413,1.15291,0.82784,0.6045,0.68577,0.43096,1.34115,0.93107,1.09127,0.00101,0.00101,0.00101
52,43334.6,1.0139,0.61644,1.15438,0.91696,0.62476,0.7273,0.43909,1.37031,0.87184,1.08556,0.0009902,0.0009902,0.0009902
53,44343.6,0.99538,0.59952,1.14466,0.80388,0.63241,0.69818,0.39659,1.49079,0.96635,1.14884,0.0009704,0.0009704,0.0009704
54,45456.9,0.96909,0.60047,1.12939,0.88829,0.57557,0.69995,0.43128,1.36693,0.92047,1.11706,0.0009506,0.0009506,0.0009506
55,46496.3,0.98471,0.59937,1.1385,0.8751,0.58051,0.69577,0.3987,1.44081,0.96986,1.1344,0.0009308,0.0009308,0.0009308
56,47554.6,0.9766,0.58656,1.13001,0.83832,0.6222,0.722,0.43768,1.3514,0.91055,1.11309,0.000911,0.000911,0.000911
57,48498.4,0.97188,0.59016,1.13267,0.87297,0.61143,0.72457,0.44488,1.3323,0.82588,1.09874,0.0008912,0.0008912,0.0008912
58,49466.6,0.9694,0.58512,1.13301,0.89459,0.6,0.70969,0.43766,1.34039,0.96369,1.07587,0.0008714,0.0008714,0.0008714
59,50311.4,0.97245,0.5793,1.12584,0.90104,0.61619,0.71109,0.4258,1.40442,0.98171,1.10318,0.0008516,0.0008516,0.0008516
60,51191.9,0.98058,0.57748,1.12955,0.83918,0.64607,0.71462,0.40697,1.49496,0.9044,1.13722,0.0008318,0.0008318,0.0008318
61,52210.1,0.96157,0.57426,1.12241,0.88038,0.61684,0.72704,0.46079,1.28947,0.85146,1.07464,0.000812,0.000812,0.000812
62,53292.2,0.93172,0.55611,1.10878,0.88845,0.6419,0.74113,0.44366,1.38865,0.84124,1.10075,0.0007922,0.0007922,0.0007922
63,54309.6,0.93222,0.55877,1.11093,0.90778,0.6375,0.73835,0.49484,1.20813,0.82108,1.02581,0.0007724,0.0007724,0.0007724
64,55277.1,0.93628,0.55755,1.11519,0.83296,0.58952,0.69013,0.42395,1.35256,0.97142,1.09374,0.0007526,0.0007526,0.0007526
65,56425.6,0.9392,0.55465,1.11074,0.83352,0.61511,0.71247,0.43878,1.35661,0.88502,1.14087,0.0007328,0.0007328,0.0007328
66,57421.7,0.92355,0.54642,1.10502,0.7931,0.63333,0.71013,0.46062,1.23966,0.88721,1.07267,0.000713,0.000713,0.000713
67,58414.4,0.90478,0.53041,1.09434,0.88453,0.58286,0.7001,0.4406,1.34061,0.98303,1.07727,0.0006932,0.0006932,0.0006932
68,59362.2,0.91723,0.54838,1.10186,0.87098,0.59151,0.70883,0.42541,1.34956,0.93683,1.10823,0.0006734,0.0006734,0.0006734
69,60333.9,0.90323,0.52755,1.09288,0.84226,0.65599,0.74473,0.44674,1.39105,0.84627,1.10273,0.0006536,0.0006536,0.0006536
70,61318.1,0.90304,0.53484,1.09497,0.85726,0.63488,0.72911,0.45426,1.33215,0.87873,1.06769,0.0006338,0.0006338,0.0006338
71,62341.5,0.89213,0.52893,1.09323,0.89134,0.63333,0.74598,0.46038,1.33476,0.84372,1.08183,0.000614,0.000614,0.000614
72,63321.2,0.88004,0.51147,1.08029,0.86625,0.6381,0.72773,0.41386,1.507,0.9073,1.13498,0.0005942,0.0005942,0.0005942
73,64343.3,0.89405,0.52024,1.0917,0.89686,0.6,0.71526,0.44155,1.34399,0.89845,1.07362,0.0005744,0.0005744,0.0005744
74,65385.3,0.87729,0.51407,1.0821,0.87013,0.64,0.73612,0.46122,1.32228,0.85443,1.07637,0.0005546,0.0005546,0.0005546
75,66445,0.88107,0.51196,1.08154,0.90404,0.61429,0.73978,0.45967,1.31999,0.85548,1.0658,0.0005348,0.0005348,0.0005348
76,67509,0.8773,0.49968,1.07717,0.89869,0.61143,0.72881,0.44185,1.4137,0.93535,1.09085,0.000515,0.000515,0.000515
77,68464.3,0.87274,0.5092,1.07398,0.92155,0.61524,0.74142,0.48395,1.2183,0.79546,1.04017,0.0004952,0.0004952,0.0004952
78,69699.8,0.8472,0.4868,1.06245,0.89483,0.64,0.74255,0.44464,1.40756,0.85211,1.10082,0.0004754,0.0004754,0.0004754
79,70801.9,0.86078,0.4992,1.07239,0.93535,0.5781,0.72104,0.4507,1.34344,0.8951,1.08393,0.0004556,0.0004556,0.0004556
80,71858.6,0.84999,0.49098,1.06552,0.91174,0.61984,0.7314,0.45201,1.31249,0.85747,1.06929,0.0004358,0.0004358,0.0004358
81,72798.5,0.84502,0.48329,1.05605,0.88006,0.61238,0.73095,0.45942,1.28282,0.8352,1.05889,0.000416,0.000416,0.000416
82,73831.3,0.85585,0.48485,1.05584,0.86895,0.64476,0.74855,0.46152,1.32671,0.80714,1.07987,0.0003962,0.0003962,0.0003962
83,74920.6,0.84599,0.48068,1.0555,0.91858,0.64381,0.76004,0.47047,1.30832,0.78444,1.06177,0.0003764,0.0003764,0.0003764
